1,"Gaspar","Sánchez",5482836428,"Avenida Entre Ríos 9144","46614322",27,"Argentina",1,1
2,"Ana","Gómez",5499767520,"Calle Perú 5164","45236483",29,"Argentina",1,1
3,"Gaspar","Castro",5492644269,"Avenida Libertador 3563","67731825",35,"Argentina",1,1
4,"Agustín","Vargas",5448148515,"Avenida Santa Fe 6654","30082065",39,"Argentina",1,1
5,"Gaspar","Olivares",5689113894,"Calle Pueyrredón 1214","15433797",17,"Chilena",1,1
6,"Natalia","Morales",5429882097,"Avenida Cabildo 6359","14961419",38,"Argentina",1,1
7,"María","Bellido",5423064761,"Calle Perú 5495","22909973",20,"Argentina",1,1
8,"Isabella","Cárdenas",5415237985,"Avenida Belgrano 5917","80401737",23,"Argentina",1,1
9,"Gonzalo","Paz",5480361050,"Calle Defensa 9011","40536676",35,"Argentina",1,1
10,"Maximiliano","Ibarra",5439501676,"Avenida Mitre 5818","70718738",18,"Argentina",1,1
11,"Ciro","Araya",5449281946,"Calle Defensa 3282","31055415",36,"Argentina",1,1
12,"Noelia","Salazar",5402271520,"Avenida Belgrano 6566","74367493",38,"Argentina",1,1
13,"Gonzalo2","Guerrero",5435241521,"Avenida 9 de Julio 6415","34492710",37,"Argentina",1,1
14,"Mariana","Rodríguez",5486212193,"Calle Córdoba 9941","87751629",28,"Argentina",1,1
15,"Germán","Nuñez",59127602126,"Calle Pueyrredón 7174","86308685",40,"Boliviana",1,1
16,"Iván","Sosa",5475074273,"Avenida Alvear 7423","59905753",17,"Argentina",1,1
17,"Renata","Jara",5455642805,"Avenida Callao 8595","98300239",26,"Argentina",1,1
18,"Olivia","Ibáñez",5457774713,"Calle Florida 8783","93212867",24,"Argentina",1,1
19,"Carolina","Pinto",5436043776,"Avenida Callao 2293","23900529",35,"Argentina",1,1
20,"Olivia","Cortés",5491362117,"Avenida Entre Ríos 3948","79476997",18,"Argentina",1,1
21,"Germán","Suárez",5480100298,"Calle Perú 7424","32045713",18,"Argentina",1,1
22,"Margarita","Estévez",5652062754,"Avenida Santa Fe 5200","14439138",22,"Chilena",1,1
23,"Belén","Acuña",5445374911,"Calle Independencia 5931","88230242",20,"Argentina",1,1
24,"Martín","Gómez",5427986506,"Calle Pueyrredón 3102","51864896",30,"Argentina",1,1
25,"Gisela","Ferrer",5484184921,"Calle San Martín 6618","26516585",28,"Argentina",1,1
26,"Esteban","Aguirre",5435849845,"Calle Córdoba 7419","93050801",22,"Argentina",1,1
27,"Rocío","Sánchez",5459035056,"Avenida Corrientes 2438","53953111",27,"Argentina",1,1
28,"Valentina","Araya",5405553640,"Avenida Rivadavia 810","12405348",32,"Argentina",1,1
29,"Lucas","Ramos",5461249035,"Calle Lavalle 991","84563559",22,"Argentina",1,1
30,"Alejandro","Herrera",5457162675,"Avenida Corrientes 6942","99299954",27,"Argentina",1,1
31,"Germán","Ortiz",5664842311,"Avenida Callao 801","34440672",28,"Chilena",1,1
32,"Bruno","Nuñez",5419681531,"Avenida 9 de Julio 5208","59534026",38,"Argentina",1,1
33,"Hernán","Quinteros",59845455466,"Calle Tucumán 4431","47489540",35,"Uruguaya",1,1
34,"Melina","Vidal",5476237653,"Calle Defensa 9497","90815626",28,"Argentina",1,1
35,"Paula","Ruiz",5898237096,"Calle Pueyrredón 1957","89014336",20,"Venezolana",1,1
36,"Carla","Bravo",5459866984,"Calle Florida 697","57292014",18,"Argentina",1,1
37,"Ivanna","Holm",5418923187,"Avenida 9 de Julio 1383","52429623",25,"Argentina",1,1
38,"Leandro","Ibarra",5425038933,"Calle Tucumán 6247","85533990",31,"Argentina",1,1
39,"Lucía","Peralta",59811700889,"Avenida Santa Fe 8679","11649670",32,"Uruguaya",1,1
40,"Hugo","Riviera2",5419717554,"Calle Defensa 7056","81290035",27,"Argentina",1,1
41,"Matías","Molina2",5424824720,"Calle Córdoba 544","69050796",27,"Argentina",1,1
42,"Lucas","Bellido",5435257650,"Calle Pueyrredón 5611","93981925",20,"Argentina",1,1
43,"Luciana","Ramos",5481248849,"Avenida 9 de Julio 3231","40907953",34,"Argentina",1,1
44,"Mara","Ibáñez",5453087630,"Avenida Entre Ríos 1927","79790770",37,"Argentina",1,1
45,"Martín","Paz",5438080800,"Calle Tucumán 8181","52630259",22,"Argentina",1,1
46,"Víctor","Campos",5410258110,"Avenida Belgrano 2380","16110813",24,"Argentina",1,1
47,"Melina","Leiva",5493069111,"Calle Defensa 4223","96664249",39,"Argentina",1,1
48,"Ramiro","Molina",5168826289,"Avenida Belgrano 9874","31930280",34,"Peruana",1,1
49,"Maximiliano","Bellido",5448095894,"Avenida Cabildo 2982","87022080",28,"Argentina",1,1
50,"Iván","Torres",5800839091,"Avenida Santa Fe 3869","29614069",33,"Venezolana",1,1
51,"Elena","Mendoza",5415378502,"Avenida Mitre 9098","57201170",22,"Argentina",1,1
52,"Ezequiel","Molina2",5890049480,"Avenida Mitre 2641","38499214",31,"Venezolana",1,1
53,"Clara","Benítez",59881484273,"Avenida Entre Ríos 7383","14694935",23,"Uruguaya",1,1
54,"Hugo","Vega",59897329156,"Avenida Santa Fe 9810","37542680",17,"Uruguaya",1,1
55,"Óscar","Suárez",5691342427,"Avenida 9 de Julio 7586","69451371",26,"Chilena",1,1
56,"Eduardo","Vargas",5649253045,"Calle Florida 4249","61170966",25,"Chilena",1,1
